DATA source,,,,,,,,,,,,
https://unece.org/fileadmin/DAM/trans/doc/themes/ForFITS/12_-_Cuenot__IEA__-_MoMo_model.pdf,,,,,,,,,,,,
Category,PLDV(2000),PLDV(2010),PLDV(2020),PLDV(2030),PLDV(2040),PLDV(2050),Truck(2000),Truck(2010),Truck(2020),Truck(2030),Truck(2040),Truck(2050)
British Virgin Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brunei Darussalam,1.07,1.31,2.00,4.05,5.08,5.28,0.16,0.21,0.20,0.39,0.50,0.59
Bulgaria,7.78,13.16,13.15,14.59,11.45,8.97,0.78,2.34,5.41,4.32,4.97,4.88
Burkina Faso,0.03,0.83,2.18,3.32,7.16,15.34,0.19,0.29,0.98,0.82,1.70,2.36
Burundi,0.01,0.16,0.41,0.62,1.34,2.86,0.03,0.05,0.18,0.15,0.32,0.44
Cabo Verde,0.00,0.08,0.20,0.31,0.67,1.43,0.02,0.03,0.09,0.08,0.16,0.22
Cambodia,3.07,3.77,5.77,11.68,14.64,15.24,0.48,0.60,0.59,1.13,1.43,1.70
Cameroon,0.06,1.77,4.65,7.08,15.27,32.70,0.40,0.61,2.09,1.74,3.63,5.03
Canada,198.14,254.64,286.96,288.66,247.61,200.73,103.03,128.14,164.81,167.22,183.39,193.11
Cayman Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Central African Republic,0.00,0.08,0.20,0.31,0.67,1.43,0.02,0.03,0.09,0.08,0.16,0.22
Chad,0.02,0.43,1.12,1.70,3.67,7.86,0.10,0.15,0.50,0.42,0.87,1.21
Chile,22.14,26.01,60.94,69.05,77.97,84.53,11.91,18.44,74.18,29.08,39.93,44.17
China,79.28,503.35,"1,460.11","2,630.42","3,033.25","3,003.76",85.76,308.04,355.37,620.96,641.03,697.76
"China, Hong Kong",1.33,8.42,24.42,44.00,50.73,50.24,1.43,5.15,5.94,10.39,10.72,11.67
"China, Macao",0.68,0.84,1.79,3.47,5.77,8.65,0.38,0.47,0.91,0.65,0.96,1.09
Christmas Island,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cocos (Keeling) Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Colombia,50.61,35.74,46.67,62.13,73.58,89.58,6.37,7.70,23.01,28.47,33.21,36.11
Comoros,0.00,0.05,0.12,0.18,0.40,0.85,0.01,0.02,0.05,0.05,0.09,0.13
Congo,0.01,0.33,0.86,1.30,2.81,6.02,0.07,0.11,0.38,0.32,0.67,0.92
"Congo, Dem. Rep.",0.07,1.90,5.01,7.62,16.43,35.19,0.43,0.66,2.25,1.87,3.90,5.41
Cook Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Costa Rica,8.47,5.86,8.89,6.95,9.05,12.83,2.06,3.14,3.48,5.05,5.33,5.99
Cote d'Ivoire,0.07,1.93,5.09,7.74,16.69,35.75,0.44,0.67,2.29,1.90,3.97,5.50
Croatia,5.88,9.95,9.94,11.04,8.66,6.78,0.59,1.77,4.09,3.27,3.76,3.69
Cuba,10.19,7.04,10.69,8.36,10.88,15.43,2.48,3.77,4.19,6.07,6.42,7.21
Curacao,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cyprus,1.78,3.01,3.01,3.34,2.62,2.05,0.18,0.53,1.24,0.99,1.14,1.12
Czech Republic,41.55,38.40,53.08,54.40,44.78,33.89,10.82,12.79,11.91,12.66,12.78,13.31
Denmark,33.87,36.48,38.58,42.18,40.61,36.05,9.25,9.28,6.92,6.83,7.92,8.35
Djibouti,0.00,0.10,0.25,0.38,0.82,1.76,0.02,0.03,0.11,0.09,0.19,0.27
Dominica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dominican Republic,16.15,11.17,16.94,13.25,17.25,24.46,3.93,5.98,6.63,9.62,10.17,11.43
Ecuador,14.54,10.05,15.25,11.93,15.52,22.02,3.54,5.38,5.97,8.66,9.15,10.29
"Egypt, Arab Rep.",51.22,88.95,139.17,210.27,259.91,324.93,21.34,37.69,43.27,66.75,64.87,78.29
El Salvador,4.43,3.06,4.65,3.63,4.73,6.71,1.08,1.64,1.82,2.64,2.79,3.13
Equatorial Guinea,0.01,0.42,1.10,1.68,3.61,7.74,0.09,0.14,0.50,0.41,0.86,1.19
Eritrea,0.01,0.16,0.43,0.66,1.42,3.04,0.04,0.06,0.19,0.16,0.34,0.47
Estonia,4.82,4.45,6.16,6.31,5.19,3.93,1.26,1.48,1.38,1.47,1.48,1.54
Eswatini,0.01,0.19,0.49,0.75,1.61,3.44,0.04,0.06,0.22,0.18,0.38,0.53
Ethiopia,0.18,4.99,13.12,19.96,43.04,92.20,1.12,1.72,5.90,4.91,10.23,14.18
Falkland Islands (Islas Malvinas),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Faroe Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fiji,0.23,0.29,0.61,1.18,1.97,2.95,0.13,0.16,0.31,0.22,0.33,0.37
Finland,26.48,28.52,30.16,32.98,31.75,28.18,7.23,7.25,5.41,5.34,6.19,6.53
France,0.00,402.24,452.62,426.36,353.18,289.32,105.67,122.88,116.37,130.55,93.54,89.53
French Polynesia,0.11,0.14,0.30,0.59,0.98,1.47,0.06,0.08,0.15,0.11,0.16,0.18
Gabon,0.02,0.57,1.49,2.26,4.88,10.46,0.13,0.20,0.67,0.56,1.16,1.61
"Gambia, The",0.00,0.10,0.26,0.39,0.84,1.81,0.02,0.03,0.12,0.10,0.20,0.28
Georgia,2.44,4.90,6.46,9.53,11.16,14.91,0.67,0.91,1.28,1.59,2.01,2.36
Germany,504.04,472.70,672.15,636.08,516.19,405.51,69.78,66.08,58.29,73.22,75.04,79.58
Ghana,0.11,3.13,8.23,12.52,26.99,57.82,0.70,1.08,3.70,3.08,6.41,8.89
Gibraltar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Greece,31.55,29.16,40.30,41.31,34.00,25.73,8.22,9.71,9.04,9.61,9.70,10.11
Grenada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guam,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guatemala,11.83,8.18,12.41,9.71,12.63,17.91,2.88,4.38,4.86,7.05,7.45,8.37
Guernsey,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guinea,0.02,0.64,1.67,2.54,5.48,11.74,0.14,0.22,0.75,0.62,1.30,1.81
Guinea-Bissau,0.00,0.07,0.17,0.27,0.57,1.23,0.01,0.02,0.08,0.07,0.14,0.19
Guyana,2.07,1.43,2.17,1.70,2.21,3.14,0.50,0.77,0.85,1.23,1.30,1.46
Haiti,2.41,1.67,2.53,1.98,2.58,3.65,0.59,0.89,0.99,1.44,1.52,1.71
Honduras,4.43,3.06,4.65,3.63,4.73,6.71,1.08,1.64,1.82,2.64,2.79,3.13
Hungary,32.34,29.89,41.31,42.34,34.85,26.38,8.43,9.96,9.27,9.86,9.95,10.36
Iceland,1.65,1.82,2.14,2.67,2.62,2.34,0.23,0.48,0.62,0.56,0.62,0.63
India,48.31,114.21,384.25,"1,123.67","2,059.67","2,843.07",54.26,95.49,122.23,251.19,362.24,470.80
Indonesia,138.35,169.54,259.49,525.46,658.88,685.72,21.38,26.87,26.58,51.02,64.31,76.43
"Iran, Islamic Rep.",91.54,165.78,193.32,194.53,236.57,278.45,27.64,44.86,56.47,70.74,83.36,96.22
Iraq,27.64,50.06,58.37,58.74,71.44,84.08,8.35,13.55,17.05,21.36,25.17,29.06
Ireland,54.88,50.72,70.10,71.85,59.14,44.76,14.30,16.89,15.72,16.72,16.88,17.58
Isle of Man,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Israel,26.65,33.65,59.96,63.24,63.56,66.12,12.34,12.65,8.29,12.43,13.93,16.50
Italy,355.08,345.01,309.94,272.43,221.95,171.57,80.36,108.93,127.24,85.60,88.64,87.05
Jamaica,2.11,1.46,2.21,1.73,2.25,3.19,0.51,0.78,0.86,1.25,1.33,1.49
Japan,404.22,520.43,702.26,609.14,459.93,412.97,331.19,194.81,125.89,130.62,117.70,111.39
Jersey,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jordan,7.10,12.86,15.00,15.09,18.35,21.60,2.14,3.48,4.38,5.49,6.47,7.47
Kazakhstan,19.72,39.66,52.31,77.17,90.33,120.68,5.41,7.33,10.34,12.87,16.27,19.13
Kenya,0.16,4.48,11.78,17.92,38.64,82.77,1.01,1.54,5.29,4.40,9.18,12.73
Kiribati,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Korea, Dem. People's Rep.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Korea, Rep.",138.43,139.32,260.36,247.08,206.98,175.92,20.74,34.36,71.01,68.50,77.51,81.56
Kuwait,14.17,25.67,29.93,30.12,36.63,43.12,4.28,6.95,8.74,10.95,12.91,14.90
Kyrgyz Republic,1.36,2.74,3.61,5.33,6.23,8.33,0.37,0.51,0.71,0.89,1.12,1.32
Lao PDR,2.42,2.97,4.54,9.20,11.53,12.00,0.37,0.47,0.47,0.89,1.13,1.34
Latvia,5.84,5.40,7.46,7.65,6.29,4.76,1.52,1.80,1.67,1.78,1.80,1.87
Lebanon,4.90,8.88,10.36,10.42,12.68,14.92,1.48,2.40,3.03,3.79,4.47,5.16
Lesotho,0.00,0.09,0.24,0.36,0.77,1.65,0.02,0.03,0.11,0.09,0.18,0.25
Liberia,0.00,0.13,0.35,0.53,1.13,2.43,0.03,0.05,0.16,0.13,0.27,0.37
Libya,4.87,8.46,13.23,19.99,24.71,30.89,2.03,3.58,4.11,6.35,6.17,7.44
Liechtenstein,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lithuania,10.63,9.82,13.57,13.91,11.45,8.67,2.77,3.27,3.04,3.24,3.27,3.40
Luxembourg,7.12,6.58,9.10,9.33,7.68,5.81,1.86,2.19,2.04,2.17,2.19,2.28
Madagascar,0.03,0.76,1.99,3.02,6.52,13.96,0.17,0.26,0.89,0.74,1.55,2.15
Malawi,0.02,0.51,1.34,2.03,4.38,9.39,0.11,0.18,0.60,0.50,1.04,1.44
Malaysia,38.89,47.65,72.94,147.69,185.20,192.74,6.01,7.55,7.47,14.34,18.08,21.48
Maldives,0.23,0.28,0.60,1.17,1.95,2.92,0.13,0.16,0.31,0.22,0.32,0.37
Mali,0.03,0.82,2.15,3.27,7.06,15.12,0.18,0.28,0.97,0.80,1.68,2.32
Malta,1.13,1.92,1.91,2.12,1.67,1.31,0.11,0.34,0.79,0.63,0.72,0.71
Marshall Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mauritania,0.02,0.44,1.15,1.75,3.77,8.09,0.10,0.15,0.52,0.43,0.90,1.24
Mauritius,0.02,0.49,1.28,1.96,4.21,9.03,0.11,0.17,0.58,0.48,1.00,1.39
Mexico,259.59,385.82,331.21,368.10,422.71,455.71,50.64,83.66,95.02,109.29,125.98,139.94
Moldova,3.63,5.43,4.06,5.72,5.91,5.86,0.55,0.82,1.69,1.21,1.66,2.00
Monaco,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mongolia,0.85,1.05,2.24,4.36,7.26,10.87,0.48,0.59,1.14,0.82,1.20,1.37
Montenegro,1.48,2.21,1.65,2.33,2.40,2.38,0.22,0.33,0.69,0.49,0.67,0.81
Morocco,11.07,19.23,30.08,45.45,56.18,70.23,4.61,8.15,9.35,14.43,14.02,16.92
Mozambique,0.02,0.70,1.83,2.79,6.00,12.86,0.16,0.24,0.82,0.68,1.43,1.98
Myanmar,9.04,11.08,16.96,34.34,43.06,44.82,1.40,1.76,1.74,3.33,4.20,5.00
Namibia,0.01,0.41,1.09,1.66,3.57,7.65,0.09,0.14,0.49,0.41,0.85,1.18
Nauru,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nepal,2.53,3.14,6.70,13.00,21.66,32.46,1.43,1.75,3.41,2.44,3.58,4.07
Netherlands,98.26,90.82,125.51,128.64,105.89,80.14,25.60,30.25,28.15,29.94,30.22,31.47
New Caledonia,0.21,0.26,0.56,1.09,1.82,2.73,0.12,0.15,0.29,0.21,0.30,0.34
New Zealand,15.41,24.44,36.53,38.65,34.79,30.79,7.82,10.57,10.44,12.78,12.38,12.81
Nicaragua,3.01,2.08,3.16,2.47,3.21,4.56,0.73,1.11,1.24,1.79,1.89,2.13
Niger,0.02,0.57,1.49,2.27,4.89,10.48,0.13,0.20,0.67,0.56,1.16,1.61
Nigeria,0.66,18.42,48.44,73.71,158.90,340.39,4.15,6.35,21.78,18.11,37.76,52.34
Niue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norfolk Island,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
North Macedonia,3.83,5.72,4.28,6.03,6.22,6.17,0.58,0.87,1.78,1.28,1.74,2.10
Northern Mariana Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norway,28.85,31.85,37.52,46.76,45.94,40.99,4.03,8.48,10.94,9.89,10.82,11.04
Oman,10.92,19.78,23.06,23.21,28.22,33.22,3.30,5.35,6.74,8.44,9.94,11.48
Pakistan,26.64,33.07,70.43,136.74,227.81,341.36,15.03,18.45,35.91,25.68,37.68,42.85
Palau,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Panama,10.91,7.54,11.44,8.95,11.65,16.52,2.65,4.04,4.48,6.50,6.87,7.72
Papua New Guinea,0.79,0.98,2.09,4.06,6.77,10.14,0.45,0.55,1.07,0.76,1.12,1.27
Paraguay,6.82,4.72,7.16,5.60,7.29,10.34,1.66,2.53,2.80,4.07,4.30,4.83
Peru,32.28,22.31,33.85,26.48,34.46,48.88,7.85,11.95,13.26,19.23,20.32,22.83
Philippines,40.13,49.18,75.27,152.42,191.12,198.91,6.20,7.80,7.71,14.80,18.65,22.17
Poland,130.96,121.03,167.27,171.44,141.12,106.80,34.11,40.31,37.52,39.90,40.28,41.94
Portugal,35.15,32.49,44.90,46.02,37.88,28.67,9.16,10.82,10.07,10.71,10.81,11.26
Puerto Rico,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Qatar,17.67,32.00,37.32,37.56,45.67,53.76,5.34,8.66,10.90,13.66,16.09,18.58
Romania,27.84,47.09,47.04,52.23,40.99,32.09,2.81,8.37,19.37,15.46,17.78,17.47
Russian Federation,233.97,294.74,286.40,283.67,278.09,284.36,34.39,40.32,51.90,53.20,54.07,57.00
Rwanda,0.02,0.55,1.46,2.21,4.77,10.22,0.12,0.19,0.65,0.54,1.13,1.57
Saint Barthelemy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint Helena,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint Lucia,0.20,0.14,0.21,0.17,0.21,0.30,0.05,0.07,0.08,0.12,0.13,0.14
Saint Pierre and Miquelon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samoa,0.02,0.03,0.06,0.12,0.20,0.30,0.01,0.02,0.03,0.02,0.03,0.04
San Marino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sao Tome and Principe,0.00,0.02,0.04,0.06,0.13,0.29,0.00,0.01,0.02,0.02,0.03,0.04
Saudi Arabia,122.99,222.74,259.74,261.37,317.85,374.13,37.14,60.27,75.87,95.05,112.00,129.28
Senegal,0.04,1.05,2.76,4.19,9.04,19.37,0.24,0.36,1.24,1.03,2.15,2.98
Serbia,15.05,22.50,16.83,23.71,24.46,24.25,2.27,3.41,7.00,5.03,6.86,8.27
Seychelles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sierra Leone,0.01,0.24,0.63,0.96,2.06,4.42,0.05,0.08,0.28,0.24,0.49,0.68
Singapore,24.64,30.20,46.22,93.60,117.36,122.15,3.81,4.79,4.73,9.09,11.46,13.61
Sint Maarten,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Slovak Republic,17.07,15.78,21.81,22.35,18.40,13.92,4.45,5.26,4.89,5.20,5.25,5.47
Slovenia,8.43,7.79,10.76,11.03,9.08,6.87,2.19,2.59,2.41,2.57,2.59,2.70
Solomon Islands,0.03,0.04,0.09,0.17,0.29,0.43,0.02,0.02,0.05,0.03,0.05,0.05
Somalia,0.01,0.35,0.91,1.38,2.98,6.38,0.08,0.12,0.41,0.34,0.71,0.98
South Africa,32.91,52.53,58.64,64.94,89.46,134.37,46.29,61.60,62.48,86.98,86.13,96.49
South Sudan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spain,179.70,166.09,229.53,235.25,193.64,146.55,46.81,55.32,51.49,54.75,55.27,57.55
Sri Lanka,5.61,6.96,14.82,28.78,47.95,71.85,3.16,3.88,7.56,5.41,7.93,9.02
Sudan,0.10,2.84,7.48,11.37,24.52,52.52,0.64,0.98,3.36,2.79,5.83,8.08
Suriname,0.69,0.47,0.72,0.56,0.73,1.04,0.17,0.25,0.28,0.41,0.43,0.49
Svalbard,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
Sweden,55.25,59.51,62.93,68.80,66.24,58.80,15.09,15.13,11.29,11.15,12.91,13.62
Switzerland,15.79,17.97,27.30,30.58,28.54,25.86,2.41,8.87,20.52,19.44,23.29,24.85
Syrian Arab Republic,9.18,16.63,19.40,19.52,23.74,27.94,2.77,4.50,5.67,7.10,8.36,9.65
Tajikistan,1.59,3.19,4.21,6.21,7.26,9.71,0.43,0.59,0.83,1.03,1.31,1.54
Tanzania,0.10,2.83,7.44,11.32,24.40,52.26,0.64,0.97,3.34,2.78,5.80,8.04
Thailand,50.79,62.24,95.27,192.92,241.90,251.75,7.85,9.87,9.76,18.73,23.61,28.06
Timor-Leste,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Togo,0.01,0.33,0.87,1.33,2.86,6.13,0.07,0.11,0.39,0.33,0.68,0.94
Tokelau,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tonga,0.01,0.02,0.04,0.07,0.12,0.17,0.01,0.01,0.02,0.01,0.02,0.02
Tunisia,4.72,8.20,12.82,19.37,23.95,29.94,1.97,3.47,3.99,6.15,5.98,7.21
Turkey,71.39,81.29,123.49,138.31,129.07,116.95,10.88,40.12,92.82,87.91,105.34,112.38
Turkmenistan,3.43,6.91,9.11,13.44,15.74,21.02,0.94,1.28,1.80,2.24,2.83,3.33
Turks and Caicos Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
U.S. Virgin Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uganda,0.07,1.83,4.81,7.33,15.79,33.83,0.41,0.63,2.16,1.80,3.75,5.20
Ukraine,41.27,61.70,46.14,65.00,67.07,66.49,6.23,9.34,19.20,13.78,18.80,22.67
United Arab Emirates,47.37,85.79,100.04,100.67,122.42,144.10,14.30,23.21,29.22,36.61,43.14,49.79
United Kingdom,387.36,391.75,397.47,403.65,329.84,276.77,55.56,60.03,67.37,66.77,72.87,77.25
United States,3231.98,3706.19,4361.47,4334.06,3677.01,2990.62,580.40,532.25,476.45,561.19,627.65,698.20
Uruguay,6.22,4.30,6.52,5.10,6.64,9.42,1.51,2.30,2.55,3.70,3.92,4.40
Uzbekistan,11.08,22.29,29.41,43.38,50.78,67.84,3.04,4.12,5.81,7.23,9.15,10.75
Vanuatu,0.02,0.02,0.05,0.10,0.16,0.24,0.01,0.01,0.03,0.02,0.03,0.03
Venezuela,14.53,10.05,15.24,11.92,15.52,22.01,3.54,5.38,5.97,8.66,9.15,10.28
Vietnam,45.28,55.49,84.93,171.98,215.65,224.43,7.00,8.80,8.70,16.70,21.05,25.01
"Yemen, Rep.",4.16,7.53,8.78,8.84,10.75,12.65,1.26,2.04,2.57,3.21,3.79,4.37
Zambia,0.04,1.12,2.95,4.49,9.67,20.72,0.25,0.39,1.33,1.10,2.30,3.19
Zimbabwe,0.02,0.59,1.56,2.38,5.12,10.98,0.13,0.20,0.70,0.58,1.22,1.69
